"","date","jobcountry","new_postings","total_postings"
"1",2020-02-01,"IE",0,0
"2",2020-02-02,"IE",0.23,-0.07
"3",2020-02-03,"IE",0.43,-0.13
"4",2020-02-04,"IE",0.05,-0.28
"5",2020-02-05,"IE",0.29,-0.33
"6",2020-02-06,"IE",0.39,-0.65
"7",2020-02-07,"IE",1.45,-0.89
"8",2020-02-08,"IE",1.96,-1.13
"9",2020-02-09,"IE",3.2,-1.24
"10",2020-02-10,"IE",4.25,-1.43
"11",2020-02-11,"IE",4.64,-2.35
"12",2020-02-12,"IE",4.54,-3.32
"13",2020-02-13,"IE",4.19,-4.12
"14",2020-02-14,"IE",3.82,-4.85
"15",2020-02-15,"IE",3.66,-5.56
"16",2020-02-16,"IE",2.05,-6.53
"17",2020-02-17,"IE",0.46,-7.32
"18",2020-02-18,"IE",0.43,-7.36
"19",2020-02-19,"IE",0.51,-7.43
"20",2020-02-20,"IE",0.58,-7.44
"21",2020-02-21,"IE",0.21,-7.46
"22",2020-02-22,"IE",-0.47,-7.62
"23",2020-02-23,"IE",-0.22,-7.48
"24",2020-02-24,"IE",0.44,-7.1
"25",2020-02-25,"IE",0.27,-6.79
"26",2020-02-26,"IE",0.25,-6.51
"27",2020-02-27,"IE",0.32,-6.3
"28",2020-02-28,"IE",0.28,-6.14
"29",2020-02-29,"IE",0.69,-5.84
"30",2020-03-01,"IE",0.61,-5.71
"31",2020-03-02,"IE",0.16,-5.99
"32",2020-03-03,"IE",-0.12,-6.14
"33",2020-03-04,"IE",-0.81,-6.21
"34",2020-03-05,"IE",-1.74,-6.29
"35",2020-03-06,"IE",-2.51,-6.49
"36",2020-03-07,"IE",-2.98,-6.58
"37",2020-03-08,"IE",-3.51,-6.73
"38",2020-03-09,"IE",-4.13,-6.79
"39",2020-03-10,"IE",-4.54,-6.74
"40",2020-03-11,"IE",-4.54,-6.89
"41",2020-03-12,"IE",-4.44,-7.07
"42",2020-03-13,"IE",-4.36,-7.25
"43",2020-03-14,"IE",-5.44,-7.57
"44",2020-03-15,"IE",-6.55,-7.96
"45",2020-03-16,"IE",-7.75,-8.45
"46",2020-03-17,"IE",-10.59,-9.41
